sample_id,C,m,sigma_scale,life_cycles
307,1.0848042810911e-10,2.8913375812715865,1.1045834544697744,143802.6278299224
308,1.01593490323082e-10,3.0191029055184138,1.0168124123176185,141819.31135053397
309,1.1263019141193547e-10,2.916142041272997,0.8810973018624599,251152.7250657515
310,1.0730315413418586e-10,2.972640730989326,1.016314947171578,150980.82222375047
311,1.0021523211772394e-10,2.917924155393356,1.00189399972448,193206.6599982579
312,1.1274177145121081e-10,3.0268784631903562,1.0021725012175728,130969.19066638338
313,1.0021433432388768e-10,2.89559393501324,1.0122973654698086,198211.58212430603
314,1.0394868649725177e-10,2.9396120708088787,0.99856608561626,178237.38318848156
315,9.31529188460668e-11,2.9266332933650046,0.9973693953472306,206119.79284508614
316,9.663883983224837e-11,2.8611714541872684,1.0306522104885394,212767.15747297276
317,8.930473129631735e-11,2.930498231892468,0.9728959601402749,229034.44201282793
318,1.0550000577211059e-10,3.1134386246197683,0.9526156832180412,132312.4998246126
319,8.468828521809729e-11,2.862960305790456,1.1511890726311196,176099.2086647093
320,1.0351056328720955e-10,2.931946489285325,0.9642071278109383,202148.533492132
321,9.416974984795047e-11,3.0157778950869445,1.0050071456230039,159802.10248552935
322,1.0724397209728628e-10,3.004025328094428,0.9252169874562316,185225.72358404362
323,1.032083422918201e-10,2.891171641771937,1.0058234207525711,198240.84838368677
324,1.134782031134093e-10,2.651661129704264,0.9533387224655332,378085.05808873044
325,1.0301543703493099e-10,2.941670281864847,0.9778763528574994,190304.0890015484
326,8.09084135457289e-11,2.668052574137695,1.0522532332885561,391432.0636981515
327,9.535724954017727e-11,3.036993723094123,1.0236004784189037,141618.54316639042
328,8.474873095108977e-11,2.906947387119326,1.028420476228741,217607.32042330934
329,9.102451351328377e-11,2.989967401987199,0.9114397580804069,236069.5751909905
330,1.1050779295945653e-10,2.799788886181895,1.0918447584914506,184784.49837325484
331,1.0212032458461788e-10,2.7347492526699946,0.9404059344529062,355777.3938422225
332,8.929026788564403e-11,2.9160754384141168,1.0764280407146933,176714.22030161583
