sample_id,C,m,sigma_scale,life_cycles,a_crit_m,failed_within_grid
224,9.68687019036276e-11,2.780034165415566,0.9655327373891329,413889321.89314365,,False
225,9.81909919693335e-11,2.91342983603769,1.0209398914100274,235743269.65161395,43.74118023370941,True
226,1.2016775076032564e-10,2.9050921526806497,1.0198617026489496,197233720.67052534,43.77819706930882,True
227,1.1401770826830404e-10,2.9479281971320934,1.097506949208751,149166620.60035947,41.29842218142119,True
228,8.780886383463533e-11,3.1085863766417625,0.9665812658350234,205186942.0496533,,False
229,9.324111972912791e-11,2.9177289531210846,1.0452459259346942,228529695.8714547,42.92696091913659,True
230,8.195095678236478e-11,2.938508176706413,1.0581231502340998,237861978.67701834,42.510749963657005,True
231,9.032921266595053e-11,2.7822438671132677,1.0352323916110324,339053674.43612736,43.25776967947276,True
232,9.902980803446727e-11,2.7613092559463626,0.951950182903784,440641508.46714497,,False
233,1.0757619476052705e-10,3.0482829446773336,1.07038794026271,133130554.98834163,42.12364508859948,True
234,8.900079515766136e-11,2.7976520220066696,1.0614662465657707,307621368.1530549,42.404347316465405,True
235,8.972019417534916e-11,2.785605592853136,1.0299792259895189,343670720.28877294,43.43388645382198,True
236,7.538602531450892e-11,2.8860901078783447,1.0102173843604476,339017871.9301535,44.112824362273976,True
237,9.44384071627689e-11,2.880980758662261,1.0113054005022186,273116842.197551,44.074754253199025,True
238,8.58008216461482e-11,2.799749349355671,0.9960632103880311,383397852.794012,44.615663112798245,True
239,9.09173814972857e-11,2.85950267812869,1.0320392567126322,281158339.57156056,43.36460851442194,True
240,8.758213652959116e-11,3.0129375717650104,1.001556742647249,220208925.242478,44.4188132270124,True
241,9.509507947917546e-11,2.8094006391168205,0.9575737512323679,401775741.0617428,,False
242,7.912580744297634e-11,2.750632751563383,0.9475704177586204,573147356.1245008,,False
243,8.19163656442465e-11,2.9842593620899796,0.9623981873173854,301017737.92583513,,False
244,1.1644077227547166e-10,2.9392296911938036,1.0111066121274725,192319815.0443965,44.081703818704995,True
245,8.36407432197693e-11,2.827948137935134,0.9986522081782396,364440305.93889076,44.522621664907426,True
246,8.547085844683546e-11,2.7317832983873083,1.0107671896644375,434980270.00389045,44.09357621653861,True
247,1.1363436987188461e-10,2.815537664356144,1.0250406566773056,255749684.74567884,43.60110234334886,True
248,1.238886448247079e-10,2.884529556315073,0.9686339537041561,248725133.4404707,,False
249,8.475296036327673e-11,3.006567208988382,1.0732830084172673,185837463.77638718,42.033560753454715,True
250,9.246481001483491e-11,2.7863418025130344,0.9866144586476263,378059569.0761238,44.959368239188564,True
251,9.927893328902889e-11,2.8815480118488526,0.9783286507609246,303793647.3079736,,False
252,1.1259549738629369e-10,2.95751446598949,1.0241193118666225,182810883.56835073,43.63247682025838,True
253,8.652617204708892e-11,2.651873265987808,0.9081744898812464,744925131.7288623,,False
254,9.364533267895575e-11,2.99337861679389,0.960473277513854,259120101.61270738,,False
255,1.0346244073019275e-10,2.7717549427793564,1.0490536399345916,292134409.37874705,42.80282596472378,True
256,1.0017375431487955e-10,2.9231995493456937,0.9131289035468945,332742537.2237086,,False
257,9.238890171619105e-11,2.9146683149610744,1.0558787098466578,225280401.21965176,42.582563079835886,True
258,9.471529954064601e-11,2.9984586391463846,1.0755568283179566,168553493.61676386,41.96314750279012,True
259,8.280100023964818e-11,2.945092438089354,0.9815272331088126,308968830.8791156,,False
260,9.371353205784322e-11,2.652270950827002,1.0145906383713155,476683522.6898969,43.96029798286823,True
261,9.344268009591403e-11,2.811522075284401,1.0559543542425514,287497936.14840686,42.58013779066714,True
262,9.822883094041206e-11,2.903820512935328,0.976660540597824,292243752.3362582,,False
263,9.066885869933745e-11,2.8705020113880213,1.043388776026309,265469914.5090779,42.987834417894405,True
