sample_id,C,m,sigma_scale,life_cycles,a_crit_m,failed_within_grid
160,8.673487908256923e-11,2.837846135521362,0.9334177619971258,311305377.47175026,34.62869609364669,True
161,8.903782978045678e-11,2.7956046475278,0.9336033743003279,334744706.51439905,34.621628379359265,True
162,1.1643330943137758e-10,3.0201158348652033,1.026662601060688,111795109.03673473,31.399966313136183,True
163,8.81146878794459e-11,2.953342154102735,0.9327264451033552,234215785.1585043,34.655044692002996,True
164,1.0404949635586892e-10,2.9504993375678876,0.9887216489465698,166493454.47754738,32.64023888111764,True
165,8.733189909036455e-11,3.014721142114245,1.0152075223093089,156466934.77536756,31.76465828974427,True
166,1.0494310092359275e-10,3.1712649248238725,0.9431203002318655,113988454.89689946,34.26297255972711,True
167,9.969552927461629e-11,2.7190773896089846,0.9487868832820568,341591103.52024597,34.052838625448445,True
168,9.449627618248233e-11,2.8161623419122894,0.9952939467716091,248016170.71069428,32.41862215870969,True
169,9.560867974909984e-11,2.828382491582548,1.0251825143762028,217780786.32729876,31.44662891144537,True
170,8.971403812387786e-11,2.804918037761731,1.0530759385206878,226838479.38334957,30.58929174890739,True
171,1.0028229313422798e-10,2.782241675239629,1.0303526717385276,228876740.27279893,31.284213450679157,True
172,9.163215858872851e-11,2.8600346935944634,1.0036828297496097,224357191.63482898,32.13996707069244,True
173,8.423418466783441e-11,2.7683396284710597,0.9626902623221475,344531299.87586576,33.54774043756494,True
174,8.373179928653166e-11,2.9235042367537414,0.9464546502077741,252631445.83260918,34.139020148920316,True
175,9.765684401013236e-11,2.8951698321428614,0.9744561455835427,211753135.90015906,33.13155550239441,True
176,1.1115927606154019e-10,2.9381028664763655,1.0204967792490283,145542825.2747627,31.595248346237746,True
177,9.753591949030501e-11,2.9407728451638255,1.0168311853313672,166651629.92635784,31.7124664129324,True
178,9.486107206934513e-11,2.950300685342668,0.8950049007137438,248889424.40231413,36.2030966925593,True
179,9.874393094018441e-11,2.852659106317612,0.9607161485866249,241969261.93096092,33.618567821177336,True
180,1.0853761672038552e-10,3.102114340263367,1.0602253775803079,88619870.39097942,30.3768084589278,True
181,9.810607201309302e-11,2.91344311164821,1.003960752390207,184083287.74648097,32.130814957221965,True
182,9.205509858399612e-11,2.7037515247375206,0.9291495543448507,407722068.5609288,34.79199924096033,True
183,1.0662037161657494e-10,2.7897624254233784,1.1177910590799076,165364670.46367097,28.702513382371286,True
184,1.001160618092315e-10,2.7159497010972187,0.9985529133842618,295269866.4633258,32.30981232065802,True
185,1.1074325752316153e-10,2.891733462915131,1.0192166979656705,164088161.1710926,31.636086874029953,True
186,9.775905059733031e-11,2.8778194775946666,1.0199762378022568,191822129.5743669,31.61184285194267,True
187,8.42450972954832e-11,2.8431574302100544,0.9816202266919907,271814628.55117166,32.883033184729996,True
188,8.286567168724162e-11,3.0910926112400516,0.9636213159089303,162408832.13425016,33.51443674423084,True
189,1.1184890814942e-10,2.944898287407691,1.106083749253297,110543413.77512044,29.032618583489928,True
190,1.1254719091951966e-10,2.9626098361446336,1.0501602934808876,123893346.50720766,30.67677603770421,True
191,9.427661555248704e-11,2.79689265120579,1.0410968600554338,227773814.65175098,30.951854581944875,True
192,9.232140171709452e-11,2.790085510866899,1.0288144595859106,244984030.944212,31.332364302631575,True
193,1.1002986520552515e-10,2.893680549909696,0.9498341304819158,204012291.34615636,34.014278053829614,True
194,8.537236145238252e-11,2.9073007139652227,1.0638765095870137,179702207.8384664,30.2693974444013,True
195,8.741062061802407e-11,2.704368843288554,0.9578433670994125,392460512.1301229,33.72215922179759,True
196,1.0217593722901483e-10,2.871969297715047,1.0141643399075322,189415115.06298196,31.798279069966693,True
197,9.221179082054794e-11,2.8914072082873505,0.9180305047267716,271632631.3120648,35.234009687965575,True
198,9.595083007948732e-11,2.8684850834228874,0.897957057467624,294300861.01461405,36.07607067094758,True
199,9.443094817416468e-11,2.8086609587653326,1.0159145601326558,237694322.24379146,31.741910388508714,True
200,9.924071566846977e-11,2.836046481807886,0.9595450366402546,251373040.68481186,33.660722778660066,True
201,1.0951182586861169e-10,2.8723140806427203,0.9005416214351363,253381397.9944393,35.96554524654195,True
202,9.686961510625677e-11,2.899080002361005,1.0270304751473538,180017735.91040853,31.388389238775762,True
203,1.0218181241545784e-10,2.950479158255057,1.1060040385525394,119359071.24614298,29.034890099494532,True
204,7.631834783010219e-11,2.9980856204950874,1.0694780129290031,158198776.6469365,30.106035002046067,True
205,9.553230334147087e-11,2.860565227647275,0.9871341057367163,226041088.73730275,32.69421306106595,True
206,8.790498940518844e-11,2.8443843803884645,1.0004422653348473,245252395.08955753,32.24705556975608,True
207,8.429939461993318e-11,2.9337655673534306,1.0443853128391956,180549763.84864935,30.851496947308206,True
208,8.7569737277484e-11,2.9510844916410854,1.0561064009917454,160936290.0179338,30.498874301126587,True
209,9.279241496927221e-11,2.8465799566741117,0.9828232140587151,243858641.1105254,32.8416567695877,True
210,1.0479266440661774e-10,2.9690393476966173,1.0017088857862286,151815334.63949478,32.20511603220291,True
